,movie,year,imdb,metascore,votes
1635,Ride Along 2,(2016),5.9,32        ,"57,847"
1636,Pete's Dragon,(2016),6.7,71        ,"57,656"
1637,Free State of Jones,(2016),6.9,53        ,"57,215"
1638,Live by Night,(2016),6.4,49        ,"56,588"
1639,Airlift,(2016),8.1,,"56,304"
1640,The Light Between Oceans,(2016),7.2,60        ,"55,999"
1641,Pride and Prejudice and Zombies,(2016),5.8,45        ,"55,484"
1642,Batman: The Killing Joke,(2016),6.4,,"55,479"
1643,Florence Foster Jenkins,(2016),6.8,71        ,"55,263"
1644,Everybody Wants Some!!,(2016),6.9,83        ,"54,629"
1645,M.S. Dhoni: The Untold Story,(2016),8.1,,"52,918"
1646,Whiskey Tango Foxtrot,(2016),6.6,57        ,"52,383"
1647,The Belko Experiment,(2016),6.1,44        ,"49,682"
1648,Keanu,(2016),6.2,63        ,"48,240"
1649,Toni Erdmann,(2016),7.3,93        ,"47,814"
1650,Anthropoid,(2016),7.2,59        ,"47,629"
1651,Free Fire,(2016),6.3,63        ,"46,234"
1652,The Boss,(2016),5.4,40        ,"45,721"
1653,Imperium,(I) (2016),6.5,68        ,"45,478"
1654,Before I Wake,(2016),6.2,68        ,"45,415"
1655,The Do-Over,(2016),5.7,22        ,"45,362"
1656,Fan,(I) (2016),7.2,,"45,121"
1657,Sultan,(2016),7.1,,"45,112"
1658,Blair Witch,(2016),5.0,47        ,"44,759"
1659,20th Century Women,(2016),7.3,83        ,"44,564"
1660,A Hologram for the King,(2016),6.1,58        ,"44,128"
1661,Pink,(III) (2016),8.1,,"44,050"
1662,Ben-Hur,(2016),5.7,38        ,"43,851"
1663,Bastille Day,(2016),6.3,48        ,"42,905"
1664,Morgan,(2016),5.8,48        ,"42,443"
1665,The Forest,(I) (2016),4.8,34        ,"42,233"
1666,American Honey,(2016),7.0,79        ,"42,063"
1667,Brimstone,(2016),7.0,45        ,"40,404"
1668,The Choice,(I) (2016),6.5,26        ,"39,558"
1669,Personal Shopper,(2016),6.1,77        ,"39,516"
1670,Dear Zindagi,(2016),7.6,,"39,221"
1671,ARQ,(2016),6.3,,"38,625"
1672,Smolensk,(2016),1.2,,"38,587"
1673,The Siege of Jadotville,(2016),7.2,,"38,553"
1674,Better Watch Out,(II) (2016),6.5,67        ,"37,412"
1675,Race,(I) (2016),7.1,56        ,"37,336"
1676,Mother's Day,(I) (2016),5.6,18        ,"36,726"
1677,Meet the Blacks,(2016),4.9,26        ,"36,407"
1678,The Void,(I) (2016),5.8,62        ,"35,086"
1679,La tortue rouge,(2016),7.5,86        ,"34,439"
1680,Loving,(2016),7.0,79        ,"34,056"
1681,Julieta,(2016),7.1,73        ,"31,276"
1682,A Street Cat Named Bob,(2016),7.3,54        ,"30,745"
1683,The Bad Batch,(2016),5.2,62        ,"30,657"
1684,My Big Fat Greek Wedding 2,(2016),6.0,37        ,"30,502"
1685,Udta Punjab,(2016),7.8,,"29,897"
1686,The Whole Truth,(2016),6.2,46        ,"28,615"
1687,Mr. Church,(2016),7.6,37        ,"28,286"
1688,Risen,(2016),6.3,51        ,"27,729"
1689,Cell,(I) (2016),4.4,38        ,"27,716"
1690,Shin Gojira,(2016),6.8,67        ,"27,076"
1691,Under the Shadow,(2016),6.8,83        ,"27,054"
1692,Bleed for This,(2016),6.8,62        ,"26,859"
1693,Rustom,(2016),7.1,,"26,131"
1694,Demain tout commence,(2016),7.3,,"26,124"
1695,Friend Request,(2016),5.2,31        ,"25,966"
1696,Aynabaji,(2016),9.3,,"25,759"
1697,Kapoor & Sons,(2016),7.7,,"25,704"
1698,Bad Santa 2,(2016),5.6,38        ,"25,399"
1699,Miracles from Heaven,(2016),7.1,44        ,"25,022"
1700,Love & Friendship,(2016),6.4,87        ,"24,644"
1701,Ma vie de Courgette,(2016),7.7,85        ,"24,617"
1702,Special Correspondents,(2016),5.8,36        ,"23,504"
1703,Get a Job,(2016),5.2,31        ,"23,118"
1704,Juste la fin du monde,(2016),6.8,48        ,"23,081"
1705,Lady Macbeth,(2016),6.8,76        ,"22,928"
1706,Ae Dil Hai Mushkil,(2016),5.8,40        ,"22,889"
1707,True Memoirs of an International Assassin,(2016),5.9,37        ,"22,626"
1708,Neerja,(2016),7.7,,"22,503"
1709,Nine Lives,(I) (2016),5.3,11        ,"22,503"
1710,Beta Test,(I) (2016),5.8,,"22,470"
1711,Billy Lynn's Long Halftime Walk,(2016),6.2,53        ,"22,410"
1712,Marauders,(2016),5.5,42        ,"22,069"
1713,Ballerina,(2016),6.8,48        ,"21,970"
1714,Our Kind of Traitor,(2016),6.2,57        ,"21,969"
1715,Kingsglaive: Final Fantasy XV,(2016),6.7,35        ,"21,511"
1716,True Crimes,(2016),4.7,24        ,"21,355"
1717,Fifty Shades of Black,(2016),3.5,28        ,"21,303"
1718,24,(I) (2016),8.1,,"21,227"
1719,The Limehouse Golem,(2016),6.3,63        ,"21,167"
1720,Denial,(II) (2016),6.7,63        ,"21,089"
1721,Brain on Fire,(2016),6.6,34        ,"21,077"
1722,The Birth of a Nation,(2016),6.5,69        ,"21,015"
1723,Skiptrace,(2016),5.6,50        ,"20,683"
1724,31,(2016),5.1,35        ,"20,418"
1725,David Brent: Life on the Road,(2016),6.3,54        ,"20,177"
1726,Tallulah,(2016),6.7,63        ,"20,064"
1727,Flaskepost fra P,(2016),7.0,,"19,651"
1728,Their Finest,(2016),6.7,76        ,"19,637"
1729,Aquarius,(I) (2016),7.4,88        ,"19,618"
1730,Genius,(2016),6.5,56        ,"19,358"
1731,Max Steel,(2016),4.6,22        ,"19,340"
1732,"Crouching Tiger, Hidden Dragon: Sword of Destiny",(2016),6.1,47        ,"19,337"
1733,Theri,(2016),7.7,,"19,239"
1734,The Trust,(2016),5.4,58        ,"19,140"
1735,Wazir,(I) (2016),7.1,,"18,818"
1736,War on Everyone,(2016),5.8,50        ,"18,760"
1737,In a Valley of Violence,(2016),6.0,64        ,"18,604"
1738,Maudie,(2016),7.6,65        ,"18,236"
